species,a10,a11,a12,a5,a6,a7,a8,a9,b10,b11,b12,b1,b2,b3,b4,b5,b6,b7,b8,b9,c10,c11,c12,c1,c2,c3,c4,c5,c6,c7,c9,d10,d11,d12,d1
campylobacter_jejuni,8,3,6,650,3,1,14,5,2,0,0,6,4,16,1,2,1,1,3,1,7,2,6,20,4,2,2,5,0,0,3,1,1,0,1
campylobacter_lari,0,2,5,530,0,0,5,0,1,0,0,4,0,17,0,0,10,11,12,2,9,2,1,14,1,0,4,4,0,1,1,169,0,12,2
campylobacter_mucosalis,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,1,0,0,2,0,0,1,0
campylobacter_pinnipediorum,3,8,5,3,0,0,5,0,0,0,0,0,0,3,0,0,1,49,4,0,1,0,1,2,0,1,5,1,0,0,1,2,0,0,1
campylobacter_showae,1,14,1,4,36,11,0,0,0,0,9,0,0,4,0,1,4513,5,1,1,0,22,2,4,2,36,48,42,1,1,262,12,7,3,0
campylobacter_sputorum,4,36,36,2,0,0,4,0,47,2,0,1,0,15,2,1,0,34,2,2,0,0,0,3,12,1,0,1,0,2,2,159,5,13,1
campylobacter_upsaliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
campylobacter_ureolyticus,2,1,38,1,0,0,5,0,129,5,5,0,0,62,0,0,189,16,6,5,0,15,0,11,0,0,4,2,1,4,11,26,0,0,1
campylobacter_volucris,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,2,2,0,0,0,0,1,0,3,0
candidatus_accumulibacter_phosphatis,32,61,13,4,4,1,0,0,42,1,0,0,0,4,0,3,19,1,9,2,0,1,0,82,7,0,10,6,23,5,5,7,2,0,0
candidatus_amoebophilus_asiaticus,0,1,0,4,0,1,0,0,0,0,0,1,0,0,3,1,0,1,0,1,0,9,0,2,1,1,3,1,2,0,1,0,4,2,2
candidatus_aquiluna_sp._imcc13023,0,0,0,20,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1
candidatus_aquiluna_sp._ub-maderosw2red,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
candidatus_arthromitus_sp._sfb-mouse,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0
candidatus_arthromitus_sp._sfb-mouse-nl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_arthromitus_sp._sfb-rat-yit,1,8,7,17,0,5,11,0,1,0,0,1,0,3,0,1,4,17,3,5,4,1,0,6,12,0,4,19,1,6,4,91,1,4,5
candidatus_arthromitus_sp._sfb-turkey,11,12,21,7,0,6,12,0,8,1,0,6,0,14,7,3,0,70,48,5,2,0,0,33,16,0,42,10,0,3,1,4,11,10,14
candidatus_atelocyanobacterium_thalassa,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
candidatus_azobacteroides_pseudotrichonymphae,9,6,18,6,0,1,35,0,13,1,0,4,9,6,8,0,4,13,53,12,0,36,0,2,0,1,10,19,25,3,2,43,11,10,3
candidatus_babela_massiliensis,0,4,2,3,0,0,2,0,2,1,0,2,0,2,0,0,2,4,4,3,1,1,1,6,0,4,6,1,1,1,3,1,0,0,0
candidatus_baumannia_cicadellinicola,0,0,1,23,47,2,2,31,0,0,0,0,25,3,4,18,2,2,2,4,32,2,36,2,62,2,1,0,0,0,52,1,0,1,0
candidatus_berkiella_cookevillensis,0,0,1,0,5,2,0,0,0,0,0,1,1,3,0,2,12,1,0,0,0,0,0,0,2,0,3,0,0,0,4,3,0,1,0
candidatus_blastococcus_massiliensis,1,2,3,1,0,0,4,0,0,2,6,0,2,0,2,2,0,0,8,0,0,2,0,8,0,4,13,3,6,1,0,7,0,0,0
candidatus_blochmannia_chromaiodes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
candidatus_blochmannia_floridanus,0,0,0,3,1,0,0,2,0,3,0,0,4,0,0,1,0,2,2,2,1,0,1,2,1,0,0,1,0,0,18,169,0,0,0
candidatus_blochmannia_pennsylvanicus,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
candidatus_blochmannia_vafer,4,0,0,1,10,1,0,9,0,0,0,2,14,0,0,8,0,3,0,0,12,4,6,2,5,0,2,0,1,0,5,0,0,0,1
candidatus_brocadia_sapporoensis,0,0,1,2,0,2,2,0,0,0,0,0,4,0,1,0,0,5,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1
candidatus_brocadia_sinica,2,4,0,3,0,42,1,0,0,22,0,1,0,6,2,0,0,5,15,14,0,2,0,5,0,0,22,7,6,12,1,2,8,2,2
candidatus_burkholderia_crenata,1,1,8,0,6,1,2,5,0,0,0,0,5,0,1,3,0,0,6,0,4,0,13,2,18,4,2,1,1,6,3,1,0,0,1
candidatus_burkholderia_humilis,0,2,1,4,0,0,2,0,0,0,1,0,3,2,0,0,0,10,0,9,0,0,0,4,0,2,3,1,0,5,10,3,4,0,4
candidatus_carsonella_ruddii,1,5,0,8,1,1,0,7,0,0,0,1,5,0,1,1,0,0,1,0,6,0,4,2,3,0,5,0,2,0,2,0,0,1,0
candidatus_chloroploca_asiatica,1,0,8,1,1,1,8,0,1,0,0,2,74,1,1,0,1,4,12,2,0,0,0,8,0,0,11,2,3,4,0,0,0,0,1
candidatus_chrysopegis_kryptomonas,11,1,3,3,0,0,0,0,4,0,0,0,0,4,0,0,0,22,3,0,0,0,0,1,9,2,1,0,0,0,1,1,0,1,0
candidatus_cloacimonas_acidaminovorans,0,3,3,14,2,0,10,9,4,5,0,2,2,6,3,3,0,27,11,8,2,0,2,9,11,1,14,6,2,0,2,20,2,10,2
candidatus_competibacter_denitrificans,1,0,2,2,1,2,1,2,9,0,0,2,4,2,0,2,32,1,1,2,2,1,1,5,8,0,0,0,1,0,1,10,1,0,2
candidatus_contendobacter_odensis,3,0,8,3,5,1,14,0,7,1,1,10,4,4,4,2,2,33,22,8,2,3,3,5,2,4,24,0,3,0,5,6,0,1,6
candidatus_dactylopiibacterium_carminicum,0,2,2,1,0,2,20,0,1,0,0,0,1,1,20,2,0,40,4,22,0,0,0,12,0,1,3,3,1,10,3,25,0,3,3
candidatus_desulfofervidus_auxilii,0,1,0,1,1,6,0,6,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,4,1,2,0,1,0,0,1,15,0,2,0
candidatus_desulforudis_audaxviator,10,16,12,27,0,1,23,0,6,1,0,5,0,2,2,0,1,2,32,7,0,0,0,66,0,0,39,4,16,3,0,51,2,6,7
candidatus_desulfovibrio_trichonymphae,53,12,13,18,0,0,2,0,3,2,0,21,0,10,1,0,1,1,45,0,0,1,0,7,0,0,9,1,4,12,6,4,0,0,0
candidatus_doolittlea_endobia,4,5,0,4,35,1,0,18,0,0,0,0,26,0,0,15,0,12,0,0,12,3,26,10,64,0,7,3,0,2,23,2,0,0,0
candidatus_dorea_massiliensis,0,11,16,8,0,4,7,0,0,1,0,0,0,18,1,2,0,1,13,21,19,0,0,0,2,1,0,3,0,0,0,182,17,29,20
candidatus_endolissoclinum_faulkneri,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0
candidatus_endomicrobium_trichonymphae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_erwinia_sp._ercipseudotaxifoliae,0,3,0,1,21,2,0,66,0,0,0,2,9,0,0,7,1,0,1,0,18,4,18,0,27,4,1,0,0,0,14,0,0,1,0
candidatus_evansia_muelleri,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,1,2,1,0,0,1,0,0,0
candidatus_filomicrobium_marinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_fonsibacter_ubiquis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,1,8,10,1,0,0,0,10,0,0,0,0
candidatus_fukatsuia_symbiotica,0,0,0,0,15,3,3,14,0,0,0,4,220,0,0,7,1,1,0,0,13,5,19,0,24,2,0,0,0,4,23,0,0,0,0
candidatus_gullanella_endobia,0,0,0,0,12,2,0,15,0,0,0,1,11,0,0,5,0,1,0,0,7,2,18,0,17,3,0,0,0,0,7,0,0,0,0
candidatus_hamiltonella_defensa,0,27,19,28,22,12,10,59,39,11,0,1,23,0,3,9,0,2,1,0,16,5,28,2,48,1,71,1,4,2,15,6,1,4,0
candidatus_hepatobacter_penaei,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
candidatus_hoaglandella_endobia,0,0,1,3,29,3,1,15,0,0,0,1,22,0,1,13,0,0,0,0,17,3,22,1,40,2,0,0,0,0,24,0,0,0,0
candidatus_ishikawaella_capsulata,0,0,0,2,25,4,0,12,0,0,0,2,20,2,5,13,0,0,0,1,26,0,30,0,37,0,0,0,0,0,13,43,0,0,0
candidatus_izimaplasma_sp._hr1,3,47,0,34,0,1,1,0,1,2,0,0,1,41,0,1,2,29,1,0,0,0,0,43,0,0,19,0,0,2,0,1,4,15,0
candidatus_izimaplasma_sp._zia1,4,3,17,19,0,5,6,0,1,3,1,2,7,24,3,0,0,23,6,4,6,1,0,6,4,0,15,8,3,0,1,0,10,48,2
candidatus_kinetoplastibacterium_crithidii,0,0,10,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,15,4,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0
candidatus_kinetoplastibacterium_desouzaii,4,0,0,10,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,6,0,0,0
candidatus_kinetoplastibacterium_galatii,0,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0
candidatus_kinetoplastibacterium_oncopeltii,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0
candidatus_korarchaeum_cryptofilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_koribacter_versatilis,3,9,6,2,0,0,12,0,10,2,0,4,0,11,7,0,0,6,6,6,0,3,0,4,0,9,25,6,8,5,0,14,1,2,10
candidatus_kryptobacter_tengchongensis,4,4,37,0,0,0,13,0,29,0,0,4,0,8,3,0,1,15,5,0,0,0,0,29,0,0,0,0,0,4,0,0,4,5,4
candidatus_kryptonium_thompsoni,0,6,1,6,0,0,0,1,0,0,0,3,0,0,0,5,0,0,0,0,0,3,14,0,1,3,0,3,0,5,10,2,0,0,6
candidatus_kuenenia_stuttgartiensis,2,1,6,1,0,1,0,0,2,1,0,0,0,31,3,0,0,8,2,0,0,0,0,2,0,0,2,3,8,3,0,4,0,2,1
candidatus_liberibacter_africanus,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,5,0
candidatus_liberibacter_americanus,1,0,5,0,1,0,1,1,0,0,0,0,1,1,0,0,4,0,0,0,4,0,0,0,0,1,0,1,0,0,2,2,0,0,0
candidatus_liberibacter_asiaticus,0,1,0,1,97,0,0,22,0,0,0,2,23,1,1,8,1,2,1,0,18,8,16,0,63,1,1,1,1,1,18,3,0,1,1
candidatus_liberibacter_solanacearum,2,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
candidatus_magnetobacterium_casensis,1,4,0,7,0,0,0,0,5,0,0,3,0,2,0,0,0,26,3,1,0,1,0,7,0,1,11,0,0,4,0,3,0,0,0
candidatus_marispirochaeta_associata,1,8,8,15,0,6,2,0,4,0,0,6,2,3,1,0,0,3,8,16,0,0,0,16,0,2,27,2,6,10,0,98,2,0,3
candidatus_marithrix_sp._canyon_246,0,1,0,0,2,0,0,0,0,0,0,1,3,0,6,0,0,8,1,1,0,0,1,2,5,0,0,0,1,1,0,4,0,2,1
candidatus_methanomassiliicoccus_intestinalis,13720,1429,5,30464,5,1,1,0,2,0,8,1334,0,1,167,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,58882,10,11,6
candidatus_methanomethylophilus_alvus,4,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,3,2,0,0,0,2,0,1,2,0,3,0,0,0,1,0,0
candidatus_methanoplasma_termitum,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
candidatus_methylopumilus_planktonicus,0,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,5,1,0,2,0,1,2,0,0,0,1,1,0,1,0,1,0,0
candidatus_methylopumilus_turicensis,0,0,0,1,0,5,0,0,0,1,2,12,2,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,2,2,0,0,0
candidatus_micrarchaeota_archaeon_mia14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_midichloria_mitochondrii,0,6,0,9,0,0,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0,0,1,0,0,4,0,0,0,0,1,5,0,0,0
candidatus_mikella_endobia,0,0,0,5,15,3,0,12,0,0,0,0,6,1,0,4,0,0,0,0,4,2,10,0,11,1,0,0,0,3,6,1,1,0,0
candidatus_moranella_endobia,0,0,0,0,12,2,0,11,1,0,0,1,14,1,0,3,0,2,0,0,11,1,9,0,24,2,0,1,0,1,12,0,1,0,0
candidatus_mycoplasma_haemominutum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0
candidatus_nanopelagicus_abundans,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
candidatus_nanopelagicus_hibericus,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
candidatus_nanopelagicus_limnes,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
candidatus_nasuia_deltocephalinicola,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
candidatus_neoehrlichia_lotoris,0,1,7,6,0,0,1,0,16,0,0,0,0,1,0,0,156,1,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
candidatus_nitrosoglobus_terrae,2,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,5,0,22,0,0,0,2,2,1,0,0,0
candidatus_nitrosomarinus_catalina,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_nitrosopelagicus_brevis,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_nitrosopumilus_adriaticus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
candidatus_nitrosopumilus_sediminis,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
candidatus_nitrosotenuis_cloacae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
candidatus_nitrospira_inopinata,3,5,2,6,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,1,8,3,5,0,0,10,0,0,0
candidatus_nitrospira_nitrificans,1,0,5,2,0,0,0,0,0,2,0,0,0,2,0,0,0,3,1,1,0,0,0,2,1,2,1,2,0,1,2,6,0,1,0
candidatus_nitrospira_nitrosa,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
candidatus_nucleicultrix_amoebiphila,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,23,0,0,1,5,0,0,0,3,0,0,0
candidatus_pantoea_carbekii,0,0,0,2,13,2,0,17,0,0,0,2,8,5,0,5,0,0,0,0,13,2,19,0,18,4,1,9,1,1,11,2,0,1,0
candidatus_paraburkholderia_schumannianae,1,5,0,11,0,1,3,0,0,0,0,0,0,1,2,0,0,2,6,0,1,0,0,1,3,0,7,1,0,8,0,1,0,0,0
candidatus_paracaedibacter_acanthamoebae,0,1,9,7,0,1,0,1,7,0,0,0,0,2,0,1,0,0,19,3,0,2,1,0,0,1,0,0,0,0,1,0,0,1,3
candidatus_pelagibacter_sp._himb1321,0,4,1,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
candidatus_pelagibacter_sp._htcc7211,0,8,6,3,0,1,5,0,0,0,0,1,0,16,3,0,4,11,4,1,0,0,0,5,0,0,0,10,3,0,1,49,1,0,2
candidatus_pelagibacter_sp._imcc9063,0,0,0,0,2,0,0,3,1,0,0,0,2,0,0,3,0,0,0,0,4,0,4,7,4,1,0,0,0,0,2,0,0,0,0
candidatus_pelagibacter_sp._rs39,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,6,0,0,0,0,0,3,0,0,5,1,0,0,0,2,0,0,0
candidatus_pelagibacter_sp._rs40,0,3,0,5,0,0,0,0,0,0,0,0,0,12,0,0,0,4,3,0,1,0,0,1,0,0,2,0,0,0,0,2,0,1,0
candidatus_pelagibacter_ubique,1,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,2,1,0,0,0,0,0,8,0,2,0
candidatus_phaeomarinobacter_ectocarpi,1,1,0,4,0,0,2,0,2,1,0,0,0,0,0,0,32,0,3,0,0,1,0,4,1,0,2,1,3,0,0,1,0,1,1
candidatus_photodesmus_blepharus,0,3,0,5,9,0,0,5,0,0,0,0,5,1,0,2,1,0,0,0,7,0,2,3,2,0,14,0,0,0,2,1,0,5,0
candidatus_phytoplasma_australiense,0,1,0,33,0,1,1,0,1,0,0,1,0,0,0,0,0,21,3,2,0,9,0,3,0,2,4,3,7,8,11,0,5,0,1
candidatus_phytoplasma_mali,0,5,0,5,0,0,1,0,0,0,0,2,0,0,0,0,7,9,1,0,0,0,0,19,0,0,2,1,0,0,0,0,0,4,0
candidatus_phytoplasma_pruni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
candidatus_planktophila_dulcis,1,0,11,1,0,2,4,0,1,3,0,4,2,5,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,1,0,5,0,0,0
candidatus_planktophila_lacus,1,0,4,2,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,1,2,0,4,0,0,0,0,0,0
candidatus_planktophila_limnetica,0,29,0,1,0,0,0,0,0,1,0,0,0,24,0,0,0,5,0,1,0,0,0,1,0,2,1,0,1,0,2,0,1,1,1
candidatus_planktophila_sulfonica,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,0,0,0,3,0,0,0
candidatus_planktophila_vernalis,3,2,1,0,0,0,2,0,0,2,0,2,0,2,0,0,1,18,0,0,0,0,0,2,0,0,3,1,2,0,0,16,7,13,0
candidatus_planktophila_versatilis,1,6,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,15,0,0,0,0,0,1,0,2,5,0,3,0,1,0,1,3,0
candidatus_portiera_aleyrodidarum,0,0,1,1,1,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,2,0,0,0,0,0,1,0,0,2,0
candidatus_profftella_armatura,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,0
candidatus_promineofilum_breve,18,12,17,15,1,1,16,1,21,3,0,5,38,8,53,0,2,5,35,9,1,0,1,42,2,2,44,12,55,10,0,75,6,5,0
candidatus_protochlamydia_amoebophila,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
candidatus_protochlamydia_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
candidatus_protochlamydia_naegleriophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
candidatus_protochlamydia_sp._r18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_protochlamydia_sp._w-9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidatus_puniceispirillum_marinum,0,1,6,0,0,0,4,0,0,0,0,1,0,1,0,0,29,3,5,3,0,1,0,2,0,0,1,5,0,0,0,0,0,0,1
candidatus_rhodobacter_lobularis,3,1,6,12,1,0,7,0,1,22,0,3,0,2,1,0,2,8,6,0,0,1,4,5,0,36,7,4,8,4,2,2,1,11,1
candidatus_rhodoluna_planktonica,6,0,33,7,0,0,1,0,6,0,0,2,0,0,0,0,6,51,47,11,0,0,0,8,0,0,11,1,7,1,0,0,0,3,0
candidatus_rickettsiella_isopodorum,0,2,0,0,2,2,1,0,0,1,0,1,0,12,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,1,0,0,1,0,4
candidatus_riesia_pediculicola,0,1,1,0,9,0,0,4,0,0,0,0,5,7,0,2,2,0,0,0,2,0,3,9,5,6,2,0,1,2,3,1,0,0,14
candidatus_riesia_pediculischaeffi,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
candidatus_ruthia_magnifica,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
candidatus_saccharibacteria_oral_taxon_tm7x,7,23,10,57,749,1,9,1,1,18,5,14,9,23,6,10,40,208,49,3,3,82,3,1,21,15,145,28,29,4,3103,114,20,43,4
candidatus_scalindua_sp._husup-a2,2,2,0,5,1,0,0,0,13,0,0,0,0,9,0,0,1,4,0,1,0,0,0,1,0,3,1,2,0,2,0,22,0,0,0
candidatus_schmidhempelia_bombi,1,1,1,2,15,0,1,3,9,1,0,1,5,0,1,3,0,4,0,2,7,0,5,2,11,0,2,1,0,6,16,0,2,1,1
candidatus_sodalis_pierantonius,1,3,3,4,166,21,1,59,1,2,0,3,79,1,1,48,2,4,6,2,90,9,50,4,169,2,6,0,9,4,293,3,1,4,0
candidatus_sodalis_sp._socistrobi,0,4,5,1,39,11,0,14,1,0,0,15,30,11,1,21,0,2,0,0,20,5,25,5,43,0,1,225,1,0,36,1,4,8,61
candidatus_soleaferrea_massiliensis,370,347,325,250,1,59,223,0,367,108,0,73,270,193,186,2,38,153,261,107,1,31,7,509,0,210,460,90,380,141,3,1360,24,109,28
candidatus_solibacter_usitatus,1,6,4,11,0,0,6,0,0,0,2,8,1,1,5,0,0,0,16,7,0,0,0,28,0,3,23,6,32,4,0,14,1,1,4
candidatus_stoquefichus_massiliensis,25,17,22,60,0,82,18,0,81,11,50,12,85,34,31,0,10,43,24,12,3,18,2,34,7,66,25,26,6,16,8,146,29,225,17
candidatus_stoquefichus_sp._kle1796,39,13,36,226,2,190,57,0,6,30,8482,173,535,177,42,0,15,102,2787,74,32,36,115,63,79,239,183,39,27,63,16,2140,92,592,39
candidatus_stoquefichus_sp._sb1,35,95,31,134,0,62,48,0,15,13,4,32,82,103,8,7,15,260,119,35,16,8,1,62,8,49,41,32,12,19,4,1968,53,273,20
candidatus_sulcia_muelleri,0,2,2,0,6,0,2,1,1,1,0,1,1,0,0,1,3,5,4,1,0,1,2,1,3,0,0,3,2,0,2,1,2,0,2
candidatus_symbiobacter_mobilis,0,1,1,0,3,0,1,3,0,1,0,6,9,0,0,0,6,3,3,4,0,0,1,15,2,1,2,3,2,1,0,10,0,2,4
candidatus_symbiothrix_dinenymphae,34,13,86,10,0,1,45,0,11,1,0,38,0,39,390,0,2,92,176,57,0,4,0,153,2,12,23,298,561,18,1,51,543,286,291
candidatus_synechococcus_spongiarum,2,1,8,5,0,0,2,0,1,2,1,1,0,6,1,0,0,0,3,1,0,0,0,3,0,1,16,0,5,3,0,1,1,4,0
candidatus_tachikawaea_gelatinosa,0,12,0,14,9,6,0,11,0,0,0,1,8,0,0,3,0,0,0,0,12,1,10,1,8,0,1,0,0,0,4,265,0,0,0
candidatus_thiodiazotropha_endoloripes,2,3,11,2,2,1,6,0,4,1,0,5,6,9,2,3,3,8,5,17,0,1,0,49,4,6,17,4,12,4,8,23,1,4,6
candidatus_thiodiazotropha_endolucinida,2,6,0,6,0,0,3,0,1,0,0,6,0,2,12,0,12,31,2,0,0,8,0,6,0,4,17,5,7,59,0,4,1,4,0
candidatus_thioglobus_autotrophicus,0,0,3,1,1,0,0,0,0,0,0,0,1,17,1,0,0,1,0,11,0,0,1,0,0,0,0,11,0,1,2,0,0,1,0
candidatus_thioglobus_singularis,0,0,14,4,0,0,7,0,1,0,1,1,0,2,0,0,0,40,1,3,0,0,0,0,1,2,0,20,1,0,3,3,0,0,0
candidatus_thiosymbion_oneisti,0,2,4,7,1,6,5,0,2,0,0,0,0,1,2,0,3,2,5,4,5,0,0,3,1,1,4,0,2,3,2,3,1,2,2
candidatus_tremblaya_phenacola,0,0,0,0,8,0,0,7,0,1,0,0,8,0,0,2,0,1,0,0,4,0,6,0,7,0,0,0,0,0,5,0,0,1,0
candidatus_tremblaya_princeps,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
candidatus_walczuchella_monophlebidarum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0
candidatus_xiphinematobacter_sp._idaho_grape,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidimonas_bauzanensis,5,12,3,10,0,0,3,0,4,1,0,1,2,5,3,1,0,0,4,5,0,0,0,4,2,0,3,2,2,0,7,10,1,1,1
