species,a10,a11,a12,a5,a6,a7,a8,a9,b10,b11,b12,b1,b2,b3,b4,b5,b6,b7,b8,b9,c10,c11,c12,c1,c2,c3,c4,c5,c6,c7,c9,d10,d11,d12,d1
acidovorax_caeni,1,4,2,4,1,0,9,0,0,2,0,5,0,7,1,0,0,0,1,0,0,1,0,17,0,7,22,4,8,3,1,77,0,6,1
acidovorax_delafieldii,0,3,0,2,0,0,0,0,0,0,0,5,1,1,10,0,0,6,2,11,0,0,0,4,0,1,4,0,0,7,1,3,0,0,0
acidovorax_radicis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
acidovorax_soli,0,1,0,1,0,0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,20,0,1,0,6
acidovorax_wautersii,1,5,4,2,0,0,2,0,0,1,4,2,0,0,0,0,1,2,2,4,0,0,0,2,0,6,4,3,11,1,0,2,3,2,5
acinetobacter_apis,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
acinetobacter_baumannii,1,109,16,14,10,1,2,8,1,3,130,9,7,8,3,5,0,1,133,6,3,5,6,0,21,14,0,8,4,5,418,4,1,0,8
acinetobacter_bohemicus,0,2,0,0,0,0,9,4,0,0,0,12,0,1,1,0,7,48,28,0,0,42,0,2,0,2,2,0,1,2,0,0,2,0,0
acinetobacter_boissieri,0,7,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,202,0,0,1,0,0,21,1,1,0,1,2,1,0,0,1
acinetobacter_brisouii,0,0,0,6,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,20,0,4,5,0,0,0,0
acinetobacter_celticus,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
acinetobacter_defluvii,2,28,0,2,0,1,5,0,1,3,6,0,2,2,0,0,2,0,2,0,2,0,0,0,2,2,0,0,4,1,8,1,0,1,0
acinetobacter_equi,0,6,2,3,8,26,1,0,0,0,1,0,1,14,0,0,0,1,19,8,1,0,2,2,7,0,4,8,1,0,6,0,7,0,0
acinetobacter_harbinensis,0,1,1,1,0,0,10,2,0,0,6,0,0,2,0,1,0,2,17,0,0,0,0,3,0,0,0,1,0,6,2,2,0,0,0
acinetobacter_indicus,0,4,1,0,0,0,1,1,0,2,2,0,0,0,1,0,1,5,0,0,0,0,0,0,1,0,0,1,3,0,4,5,0,1,3
acinetobacter_johnsonii,2,11,0,3,0,1,19,1,0,14,486,1,1,2,0,1,0,4,1,0,1,3,8,2,2,6,3,4,3,1,4,8,3,0,1
acinetobacter_junii,0,7,2,2,1,2,7,2,0,0,61,1,1,0,0,0,0,1,0,0,0,0,2,2,1,4,3,0,0,6,2,2,3,0,1
acinetobacter_kookii,0,0,1,0,1,2,0,0,0,0,0,6,2,1,0,2,45,1,0,0,1,0,0,5,4,0,0,0,0,0,1,0,0,1,0
acinetobacter_larvae,0,2,0,0,3,0,3,1,0,0,1,0,2,3,0,1,0,0,0,0,0,1,4,0,0,4,1,0,1,0,2,1,2,3,0
acinetobacter_nectaris,4,0,0,4,20,0,0,10,0,0,0,1,8,0,1,4,0,0,0,0,5,4,10,2,17,1,0,3,0,1,11,34,0,0,0
acinetobacter_pittii,1,2,0,0,6,1,4,3,1,1,2,1,3,1,3,1,0,2,0,0,6,1,9,0,13,3,2,0,1,0,5,1,0,1,0
acinetobacter_populi,1,13,1,1,2,13,1,1,2,9,0,0,0,1,2,0,2,2,5,2,0,0,1,5,1,6,3,115,1,0,1,0,0,0,0
acinetobacter_qingfengensis,1,2,0,1,2,0,10,6,0,2,0,5,0,2,4,0,0,4,3,1,3,2,0,0,3,5,2,2,9,1,2,5,12,7,1
acinetobacter_radioresistens,0,6,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acinetobacter_rudis,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,4,0,1,3,0,0,0,0,4,0,1,0,0
acinetobacter_schindleri,1,73,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,0
acinetobacter_soli,0,6,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,2,1
actibacterium_atlanticum,0,0,0,1,0,1,17,0,0,1,0,12,2,2,14,0,10,0,0,0,0,0,0,3,0,0,0,0,0,1,0,8,0,1,0
