sulfurihydrogenibium_azorense	acidobacterium_ailaaui	h2o_e,pyr_e,
acidobacterium_capsulatum	niabella_aurantiaca	h_e,orn_e,tsul_e,
niabella_aurantiaca	acidobacterium_capsulatum	
acidothermus_cellulolyticus	agrococcus_jejuensis	
agrococcus_jejuensis	acidothermus_cellulolyticus	pro__L_e,
acidovorax_avenae	haloglycomyces_albus	
haloglycomyces_albus	acidovorax_avenae	h_e,
acidovorax_caeni	dethiosulfovibrio_peptidovorans	h2s_e,
dethiosulfovibrio_peptidovorans	acidovorax_caeni	gly_e,
acidovorax_delafieldii	moraxella_boevrei	no2_e,
moraxella_boevrei	acidovorax_delafieldii	val__L_e,
acidovorax_wautersii	chloroherpeton_thalassium	
chloroherpeton_thalassium	acidovorax_wautersii	nh4_e,
acidovorax_wautersii	photobacterium_leiognathi	pi_e,
photobacterium_leiognathi	acidovorax_wautersii	
acinetobacter_bohemicus	pontibacter_lucknowensis	
pontibacter_lucknowensis	acinetobacter_bohemicus	
acinetobacter_boissieri	microbacterium_testaceum	
microbacterium_testaceum	acinetobacter_boissieri	h2o_e,
acinetobacter_kookii	candidatus_berkiella	
candidatus_berkiella	acinetobacter_kookii	
acinetobacter_kookii	halobacteriovorax_marinus	acald_e,trp__L_e,
halobacteriovorax_marinus	acinetobacter_kookii	h2o_e,h_e,pi_e,
acinetobacter_kookii	neptunomonas_antarctica	
neptunomonas_antarctica	acinetobacter_kookii	pi_e,
acinetobacter_larvae	elusimicrobium_minutum	fe2_e,
elusimicrobium_minutum	acinetobacter_larvae	
acinetobacter_nectaris	psychroserpens_mesophilus	gly_e,bz_e,
psychroserpens_mesophilus	acinetobacter_nectaris	h2o_e,h_e,
acinetobacter_nectaris	solemya_velesiana	gly_e,
solemya_velesiana	acinetobacter_nectaris	h2o_e,
acinetobacter_qingfengensis	imhoffiella_purpurea	pi_e,
imhoffiella_purpurea	acinetobacter_qingfengensis	h2o_e,
acinetobacter_schindleri	candidatus_competibacter	
candidatus_competibacter	acinetobacter_schindleri	
actibacterium_mucosum	hyphomicrobium_denitrificans	h2o_e,etoh_e,
hyphomicrobium_denitrificans	actibacterium_mucosum	h_e,hxan_e,
actinoalloteichus_hoggarensis	shimia_haliotis	cu2_e,
shimia_haliotis	actinoalloteichus_hoggarensis	
actinoalloteichus_hymeniacidonis	altererythrobacter_marensis	mal__L_e,glyclt_e,hxan_e,
altererythrobacter_marensis	actinoalloteichus_hymeniacidonis	nh4_e,
actinoalloteichus_hymeniacidonis	limnohabitans_planktonicus	
limnohabitans_planktonicus	actinoalloteichus_hymeniacidonis	acald_e,
actinobacillus_succinogenes	mannheimia_haemolytica	
mannheimia_haemolytica	actinobacillus_succinogenes	
actinobacillus_succinogenes	vibrio_ostreicida	asp__L_e,
vibrio_ostreicida	actinobacillus_succinogenes	
actinokineospora_bangkokensis	nocardioides_halotolerans	
nocardioides_halotolerans	actinokineospora_bangkokensis	
actinomadura_chibensis	delftia_acidovorans	
delftia_acidovorans	actinomadura_chibensis	
actinomadura_flavalba	exiguobacterium_sibiricum	pi_e,h_e,
exiguobacterium_sibiricum	actinomadura_flavalba	
actinomyces_liubingyangii	listeria_rocourtiae	pi_e,
listeria_rocourtiae	actinomyces_liubingyangii	
actinomyces_provencensis	kribbella_catacumbae	lac__L_e,fe3_e,cu2_e,
kribbella_catacumbae	actinomyces_provencensis	h2o_e,h2s_e,pro__L_e,
actinomyces_radicidentis	leptolyngbya_boryana	acald_e,
leptolyngbya_boryana	actinomyces_radicidentis	pi_e,fe2_e,
actinomyces_ruminicola	pseudomonas_pohangensis	nh4_e,pi_e,gly_e,
pseudomonas_pohangensis	actinomyces_ruminicola	lac__L_e,
actinomyces_vulturis	methyloceanibacter_methanicus	h2o_e,gly_e,h_e,
methyloceanibacter_methanicus	actinomyces_vulturis	pi_e,
actinophytocola_xinjiangensis	mycobacterium_koreense	h_e,
mycobacterium_koreense	actinophytocola_xinjiangensis	acald_e,
actinoplanes_friuliensis	catenulispora_acidiphila	
catenulispora_acidiphila	actinoplanes_friuliensis	h2o_e,h_e,h2s_e,
actinoplanes_missouriensis	thermosediminibacter_oceani	
thermosediminibacter_oceani	actinoplanes_missouriensis	glu__L_e,
actinopolymorpha_cephalotaxi	kribbella_catacumbae	
kribbella_catacumbae	actinopolymorpha_cephalotaxi	h2o_e,
actinopolymorpha_singaporensis	leucobacter_chromiiresistens	h_e,glu__L_e,
leucobacter_chromiiresistens	actinopolymorpha_singaporensis	
actinopolymorpha_singaporensis	paracoccus_sediminis	h_e,pi_e,cu2_e,
paracoccus_sediminis	actinopolymorpha_singaporensis	h2o_e,
actinopolyspora_xinjiangensis	brevundimonas_subvibrioides	h2o_e,
brevundimonas_subvibrioides	actinopolyspora_xinjiangensis	
actinosynnema_mirum	lactobacillus_brantae	h2o_e,
lactobacillus_brantae	actinosynnema_mirum	
actinotalea_ferrariae	bifidobacterium_crudilactis	acald_e,glu__L_e,h2s_e,
bifidobacterium_crudilactis	actinotalea_ferrariae	ade_e,
actinotignum_schaalii	oceanobacillus_damuensis	
oceanobacillus_damuensis	actinotignum_schaalii	val__L_e,
acuticoccus_yangtzensis	desulfuromonas_acetoxidans	glyc_e,
desulfuromonas_acetoxidans	acuticoccus_yangtzensis	nh4_e,gly_e,
acuticoccus_yangtzensis	gimesia_maris	
gimesia_maris	acuticoccus_yangtzensis	
adlercreutzia_equolifaciens	arabia_massiliensis	ala__L_e,
arabia_massiliensis	adlercreutzia_equolifaciens	mal__L_e,glu__L_e,
advenella_mimigardefordensis	desulfovibrio_fairfieldensis	pro__L_e,val__L_e,ura_e,
desulfovibrio_fairfieldensis	advenella_mimigardefordensis	nh4_e,gly_e,fe3_e,
aequorivita_sublithincola	occidentia_massiliensis	
occidentia_massiliensis	aequorivita_sublithincola	
aeribacillus_pallidus	loktanella_soesokkakensis	
loktanella_soesokkakensis	aeribacillus_pallidus	
aerococcus_christensenii	caloranaerobacter_ferrireducens	nh4_e,h2s_e,
caloranaerobacter_ferrireducens	aerococcus_christensenii	h2o_e,h_e,
aerococcus_urinae	marinomonas_atlantica	h2o_e,gly_e,
marinomonas_atlantica	aerococcus_urinae	nh4_e,
aerococcus_urinaeequi	pseudomonas_syringae	
pseudomonas_syringae	aerococcus_urinaeequi	
aerococcus_urinaehominis	oceaniovalibus_guishaninsula	
oceaniovalibus_guishaninsula	aerococcus_urinaehominis	
aeromicrobium_erythreum	kaistia_granuli	
kaistia_granuli	aeromicrobium_erythreum	h2s_e,
aeromicrobium_marinum	pseudarthrobacter_phenanthrenivorans	h_e,
pseudarthrobacter_phenanthrenivorans	aeromicrobium_marinum	
aeromicrobium_massiliense	gryllotalpicola_ginsengisoli	
gryllotalpicola_ginsengisoli	aeromicrobium_massiliense	pyr_e,nh4_e,
aeromicrobium_massiliense	lentzea_kentuckyensis	glu__L_e,
lentzea_kentuckyensis	aeromicrobium_massiliense	acald_e,
aeromonas_fluvialis	amantichitinum_ursilacus	
amantichitinum_ursilacus	aeromonas_fluvialis	asp__L_e,pi_e,
aeromonas_fluvialis	corynebacterium_diphtheriae	
corynebacterium_diphtheriae	aeromonas_fluvialis	asp__L_e,
aeromonas_fluvialis	nitratireductor_pacificus	glu__L_e,
nitratireductor_pacificus	aeromonas_fluvialis	
aeromonas_salmonicida	streptococcus_macacae	h2o_e,
streptococcus_macacae	aeromonas_salmonicida	nh4_e,pi_e,ade_e,ala__D_e,
aeromonas_schubertii	halotalea_alkalilenta	
halotalea_alkalilenta	aeromonas_schubertii	pi_e,asp__L_e,
aestuariibacter_aggregatus	ruminococcaceae_bacterium	fe2_e,
ruminococcaceae_bacterium	aestuariibacter_aggregatus	no2_e,ala__L_e,ade_e,
aestuariivita_atlantica	corynebacterium_phocae	h_e,
corynebacterium_phocae	aestuariivita_atlantica	
afifella_marina	campylobacter_corcagiensis	pi_e,
campylobacter_corcagiensis	afifella_marina	pyr_e,
agarivorans_gilvus	idiomarina_piscisalsi	h2s_e,
idiomarina_piscisalsi	agarivorans_gilvus	h_e,
agarivorans_gilvus	thiomicrospira_microaerophila	uri_e,
thiomicrospira_microaerophila	agarivorans_gilvus	asp__L_e,
agrobacterium_vitis	bacillus_acidiceler	
bacillus_acidiceler	agrobacterium_vitis	h2o_e,pi_e,mal__L_e,
agrobacterium_vitis	bifidobacterium_pseudolongum	orn_e,
bifidobacterium_pseudolongum	agrobacterium_vitis	
agrobacterium_vitis	chlorobaculum_parvum	no2_e,
chlorobaculum_parvum	agrobacterium_vitis	
agrobacterium_vitis	halanaerobium_praevalens	
halanaerobium_praevalens	agrobacterium_vitis	mal__L_e,
agrobacterium_vitis	magnetospirillum_magneticum	no2_e,
magnetospirillum_magneticum	agrobacterium_vitis	etoh_e,
agrobacterium_vitis	tepidanaerobacter_acetatoxydans	
tepidanaerobacter_acetatoxydans	agrobacterium_vitis	pi_e,
agrococcus_carbonis	agrococcus_lahaulensis	h2o_e,
agrococcus_lahaulensis	agrococcus_carbonis	ser__D_e,ala__L_e,pro__L_e,h2s_e,
agrococcus_carbonis	microbacterium_azadirachtae	orn_e,
microbacterium_azadirachtae	agrococcus_carbonis	ser__D_e,h2s_e,
agrococcus_casei	caldanaerovirga_acetigignens	nh4_e,
caldanaerovirga_acetigignens	agrococcus_casei	h2s_e,
agrococcus_jejuensis	anaerococcus_mediterraneensis	fe2_e,
anaerococcus_mediterraneensis	agrococcus_jejuensis	ade_e,
agrococcus_lahaulensis	fontimonas_thermophila	ala__L_e,asp__L_e,icit_e,
fontimonas_thermophila	agrococcus_lahaulensis	h_e,acald_e,
agromyces_aureus	phycicoccus_jejuensis	no2_e,cu2_e,
phycicoccus_jejuensis	agromyces_aureus	lac__L_e,
akkermansia_glycaniphila	bifidobacterium_saguini	
bifidobacterium_saguini	akkermansia_glycaniphila	nh4_e,gly_e,glu__L_e,
akkermansia_glycaniphila	paenibacillus_larvae	
paenibacillus_larvae	akkermansia_glycaniphila	glu__L_e,pi_e,
albidovulum_xiamenense	methylocella_silvestris	pi_e,fe3_e,
methylocella_silvestris	albidovulum_xiamenense	
albimonas_donghaensis	catalinimonas_alkaloidigena	acald_e,
catalinimonas_alkaloidigena	albimonas_donghaensis	h_e,no2_e,pi_e,
alcanivorax_dieselolei	mobiluncus_mulieris	pi_e,
mobiluncus_mulieris	alcanivorax_dieselolei	nh4_e,
alcanivorax_hongdengensis	variovorax_paradoxus	cu2_e,
variovorax_paradoxus	alcanivorax_hongdengensis	
alcanivorax_pacificus	pseudomonas_massiliensis	
pseudomonas_massiliensis	alcanivorax_pacificus	pyr_e,
alcanivorax_pacificus	roseomonas_gilardii	
roseomonas_gilardii	alcanivorax_pacificus	pyr_e,
algibacter_alginicilyticus	crenothrix_polyspora	h2o_e,
crenothrix_polyspora	algibacter_alginicilyticus	
algibacter_alginicilyticus	flavobacterium_johnsoniae	
flavobacterium_johnsoniae	algibacter_alginicilyticus	pyr_e,
algibacter_alginicilyticus	lactobacillus_paracollinoides	thym_e,
lactobacillus_paracollinoides	algibacter_alginicilyticus	h_e,
algibacter_alginicilyticus	sediminibacterium_ginsengisoli	h2o_e,
sediminibacterium_ginsengisoli	algibacter_alginicilyticus	
algibacter_aquaticus	amycolatopsis_marina	h_e,
amycolatopsis_marina	algibacter_aquaticus	pi_e,h2s_e,
algibacter_pectinivorans	nonlabens_spongiae	h_e,pyr_e,
nonlabens_spongiae	algibacter_pectinivorans	cgly_e,
algiphilus_aromaticivorans	pantoea_agglomerans	
pantoea_agglomerans	algiphilus_aromaticivorans	gly_e,cgly_e,
algoriella_xinjiangensis	erythrobacter_longus	
erythrobacter_longus	algoriella_xinjiangensis	h2s_e,
algoriphagus_faecimaris	schlesneria_paludicola	h2o_e,h2s_e,pro__L_e,fe2_e,
schlesneria_paludicola	algoriphagus_faecimaris	cgly_e,
algoriphagus_machipongonensis	erythrobacter_gangjinensis	glu__L_e,h2o_e,fe2_e,
erythrobacter_gangjinensis	algoriphagus_machipongonensis	gly_e,nh4_e,
algoriphagus_marinus	tenacibaculum_holothuriorum	pi_e,h2s_e,
tenacibaculum_holothuriorum	algoriphagus_marinus	h2o_e,gly_e,
algoriphagus_resistens	geobacter_uraniireducens	
geobacter_uraniireducens	algoriphagus_resistens	acald_e,
algoriphagus_terrigena	commensalibacter_intestini	h2o_e,
commensalibacter_intestini	algoriphagus_terrigena	asp__L_e,gly_e,
algoriphagus_vanfongensis	lactobacillus_composti	h_e,
lactobacillus_composti	algoriphagus_vanfongensis	ala__L_e,gly_e,fe2_e,
algoriphagus_zhangzhouensis	streptomyces_alboflavus	h_e,h2o_e,cu2_e,
streptomyces_alboflavus	algoriphagus_zhangzhouensis	
aliagarivorans_marinus	xanthomonas_citri	gly_e,asp__L_e,
xanthomonas_citri	aliagarivorans_marinus	
