algibacter_alginicilyticus,crenothrix_polyspora
algibacter_alginicilyticus,flavobacterium_johnsoniae
algibacter_alginicilyticus,lactobacillus_paracollinoides
algibacter_alginicilyticus,sediminibacterium_ginsengisoli
algibacter_aquaticus,amycolatopsis_marina
algibacter_pectinivorans,nonlabens_spongiae
algiphilus_aromaticivorans,pantoea_agglomerans
algoriella_xinjiangensis,erythrobacter_longus
algoriphagus_faecimaris,schlesneria_paludicola
algoriphagus_machipongonensis,erythrobacter_gangjinensis
algoriphagus_marinus,tenacibaculum_holothuriorum
algoriphagus_resistens,geobacter_uraniireducens
algoriphagus_terrigena,commensalibacter_intestini
algoriphagus_vanfongensis,lactobacillus_composti
algoriphagus_zhangzhouensis,streptomyces_alboflavus
aliagarivorans_marinus,xanthomonas_citri
alicyclobacillus_acidocaldarius,alicyclobacillus_macrosporangiidus
alicyclobacillus_acidocaldarius,bacillus_kribbensis
alicyclobacillus_acidocaldarius,demequina_flava
alicyclobacillus_acidocaldarius,paenibacillus_bovis
alicyclobacillus_acidocaldarius,paenibacillus_ihumii
alicyclobacillus_contaminans,fibrella_aestuarina
alicyclobacillus_ferrooxydans,truepera_radiovictrix
alicyclobacillus_kakegawensis,bacillus_selenitireducens
alicyclobacillus_kakegawensis,paenibacillus_donghaensis
alicyclobacillus_kakegawensis,ruminococcaceae_bacterium
aliifodinibius_roseus,cobetia_crustatorum
aliivibrio_salmonicida,mizugakiibacter_sediminis
aliivibrio_salmonicida,photobacterium_galatheae
aliivibrio_wodanis,providencia_heimbachae
alistipes_indistinctus,peptoniphilus_coxii
alistipes_indistinctus,prevotella_multisaccharivorax
alistipes_inops,candidatus_kinetoplastibacterium
alistipes_timonensis,neisseria_wadsworthii
alistipes_timonensis,prevotella_buccalis
aliterella_atlantica,brevibacterium_senegalense
alkalibacterium_gilvum,pseudanabaena_biceps
alkalibacterium_pelagium,rubeoparvulum_massiliense
alkalilimnicola_ehrlichii,bordetella_genomosp
alkaliphilus_oremlandii,bacillus_panaciterrae
alkaliphilus_peptidifermentans,salinihabitans_flavidus
alkalispirochaeta_odontotermitis,thermoactinospora_rubra
alkalitalea_saponilacus,bacillus_ligniniphilus
alkalitalea_saponilacus,lentibacillus_jeotgali
alkalitalea_saponilacus,tepidicaulis_marinus
allochromatium_vinosum,amycolatopsis_saalfeldensis
allofrancisella_guangzhouensis,smaragdicoccus_niigatensis
allokutzneria_albata,candidatus_desulfovibrio
allosalinactinospora_lopnorensis,candidatus_synechococcus
alloscardovia_criceti,nocardia_acidivorans
alloscardovia_macacae,terribacillus_halophilus
alloscardovia_omnicolens,demequina_aestuarii
altererythrobacter_atlanticus,candidatus_liberibacter
altererythrobacter_atlanticus,halomonas_gudaonensis
altererythrobacter_dongtanensis,caldicoprobacter_oshimai
altererythrobacter_dongtanensis,methylibium_petroleiphilum
altererythrobacter_dongtanensis,roseovarius_pacificus
altererythrobacter_epoxidivorans,nautilia_profundicola
altererythrobacter_ishigakiensis,burkholderia_gladioli
altererythrobacter_namhicola,aureimonas_altamirensis
alteribacillus_bidgolensis,chryseobacterium_soldanellicola
alteribacillus_bidgolensis,mycobacterium_arosiense
alteribacillus_bidgolensis,pseudomonas_psychrotolerans
alteribacillus_persepolensis,mycetocola_miduiensis
alteromonas_australica,rheinheimera_salexigens
altibacter_lentus,bosea_lupini
aminobacter_aminovorans,bacillus_glycinifermentans
aminobacterium_colombiense,devosia_enhydra
ammonifex_degensii,desulfatirhabdium_butyrativorans
ammonifex_degensii,desulfoluna_spongiiphila
ammonifex_degensii,gloeobacter_violaceus
ammonifex_degensii,murdochiella_massiliensis
ammonifex_degensii,paenibacillus_gorillae
ammonifex_degensii,pseudodesulfovibrio_indicus
amorphus_coralli,lactobacillus_mixtipabuli
amphibacillus_sediminis,paenibacillus_catalpae
amphibacillus_sediminis,thermobacillus_composti
amphiplicatus_metriothermophilus,salinimicrobium_terrae
amphritea_japonica,microbulbifer_thermotolerans
amycolatopsis_australiensis,cyanobium_gracile
amycolatopsis_australiensis,rubrobacter_xylanophilus
amycolatopsis_australiensis,sphingomonas_mucosissima
amycolatopsis_benzoatilytica,deinococcus_radiodurans
amycolatopsis_halophila,candidatus_planktophila
amycolatopsis_halophila,microbacterium_pygmaeum
amycolatopsis_halophila,pseudoxanthomonas_suwonensis
amycolatopsis_halophila,salinicoccus_luteus
amycolatopsis_halophila,sanguibacter_gelidistatuariae
amycolatopsis_jejuensis,deinococcus_misasensis
amycolatopsis_marina,candidatus_pelagibacter
amycolatopsis_mediterranei,lactobacillus_similis
amycolatopsis_nigrescens,pelagirhabdus_alkalitolerans
amycolatopsis_nigrescens,tessaracoccus_massiliensis
amycolatopsis_saalfeldensis,gloeobacter_kilaueensis
amycolatopsis_saalfeldensis,thermus_arciformis
amycolatopsis_taiwanensis,terracidiphilus_gabretensis
anaerococcus_prevotii,desulfovibrio_fairfieldensis
anaerococcus_provencensis,dialister_micraerophilus
anaerolinea_thermophila,kyrpidia_tusciae
anaeromassilibacillus_senegalensis,beduini_massiliensis
anaeromassilibacillus_senegalensis,clostridiisalibacter_paucivorans
anaeromassilibacillus_senegalensis,clostridium_tepidiprofundi
anaeromassilibacillus_senegalensis,geosporobacter_ferrireducens
anaeromassilibacillus_senegalensis,lachnospiraceae_bacterium
anaeromyxobacter_dehalogenans,roseomonas_cervicalis
anaerosalibacter_massiliensis,anaerosporomusa_subterranea
anaerosalibacter_massiliensis,pelobacter_carbinolicus
anaerosphaera_aminiphila,fervidicella_metallireducens
anaerosphaera_aminiphila,lutibacter_oricola
anaerosphaera_aminiphila,methyloglobulus_morosus
anaerovirgula_multivorans,bordetella_genomosp
anaplasma_marginale,idiomarina_loihiensis
anditalea_andensis,pedobacter_cryoconitis
